n,pts_time,fps,frame_idx,Caption
1,0.0,25.0,0,a close up of a logo with a city in the background
2,4.0,25.0,100,arafed news set with a man and a woman standing in front of a tv screen
3,10.84,25.0,271,arafed news set with a man and woman on the screen
4,13.4,25.0,335,there is a red light that is shining on a building
5,13.84,25.0,346,there is a red and white picture of a knife and a red and white background
6,15.08,25.0,377,people are sitting in chairs watching a man on a stage
7,20.16,25.0,504,a group of people standing in a cave with a light shining through the cave
8,23.16,25.0,579,a group of people in hard hats standing in a dark room
9,25.12,25.0,628,there is a sand castle made of clay on the ground
10,29.92,25.0,748,there are many vases that are sitting on a table
11,33.32,25.0,833,arafed image of a soccer match with a player on the field
12,38.36,25.0,959,arafed asian news anchor and a woman in a pink dress
13,45.36,25.0,1134,arafed asian man and woman standing in front of a tv screen
14,52.36,25.0,1309,arafed image of a man and a woman on a news set
15,56.36,25.0,1409,arafed asian news anchor and a woman in a pink dress
16,63.04,25.0,1576,arafed asian news anchor and a woman in a pink dress
17,69.0,25.0,1725,arafed image of a man and a woman on a news set
18,71.36,25.0,1784,arafed image of a woman speaking at a podium with a microphone
19,75.76,25.0,1894,several people wearing headphones are sitting in a row
20,79.48,25.0,1987,arafed image of a man in a white suit speaking into a microphone
21,81.8,25.0,2045,people sitting in a crowd watching a man talk on a cell phone
22,86.92,25.0,2173,people standing around a table with a table cloth on it
23,91.12,25.0,2278,there is a table with a bunch of items on it
24,93.12,25.0,2328,there are two women talking to each other at a convention
25,98.0,25.0,2450,there are many items on a table with a sign and a picture
26,100.2,25.0,2505,several people are standing around a table with a cake
27,104.04,25.0,2601,there is a woman standing under a tree with red hearts on it
28,111.04,25.0,2776,arafed news anchor with a man and a woman on a news set
29,115.24,25.0,2881,arafed news anchor with a man and woman on a news set
30,122.2,25.0,3055,arafed news anchor with a man and woman on a news set
31,128.96,25.0,3224,several people are walking in a line in the woods
32,133.96,25.0,3349,a close up of a television screen with a tree in the background
33,140.36,25.0,3509,two people walking through a jungle with a flashlight on their head
34,147.0,25.0,3675,two people standing on rocks in a cave with a backpack
35,152.0,25.0,3800,several people are standing in the dark with flashlights on
36,156.52,25.0,3913,there are people walking in the dark with backpacks on
37,161.12,25.0,4028,there is a man standing in the dark with a flashlight
38,166.36,25.0,4159,a close up of a rock formation with a text over it
39,173.36,25.0,4334,a close up of a person walking through a cave at night
40,180.36,25.0,4509,arafed asian news anchor and a woman in a pink dress
41,184.88,25.0,4622,arafed image of a man and a woman standing in front of a tv
42,191.88,25.0,4797,arafed asian news anchor and a woman in a pink dress
43,195.4,25.0,4885,there is a pile of sand on the ground with a bowl in the background
44,201.96,25.0,5049,a close up of a person holding a clay object in a clay pot
45,205.96,25.0,5149,there is a man sitting on the ground in front of a building
46,209.24,25.0,5231,there are people that are standing around with pots and pots
47,212.12,25.0,5303,arafed image of a man in a suit standing in front of a flag
48,219.12,25.0,5478,arafed image of a man in a suit standing in front of flags
49,223.84,25.0,5596,there are many vases that are sitting on the table
50,227.52,25.0,5688,there is a glass vase with a picture of a man in it
51,233.96,25.0,5849,someone is making a vase with a clay and a wooden stand
52,237.08,25.0,5927,there are many people standing in a field of tall grass
53,240.6,25.0,6015,arafed group of people in white and pink outfits walking down a street
54,242.4,25.0,6060,there are two dolls that are sitting on a table
55,248.56,25.0,6214,arafed image of a man in a shirt and tie standing in front of a city
56,255.56,25.0,6389,arafed image of a man in a shirt and tie standing in front of a city
